Country,Happiness.Rank,Happiness.Score,Number of Records,Factors,Values,Year
Singapore,22,6.74,1,Economy..GDP.per.Capita.,1.65,2016
Singapore,22,6.74,1,Family.Support,0.87,2016
Singapore,22,6.74,1,Freedom,0.49,2016
Singapore,22,6.74,1,Generosity,0.33,2016
Singapore,22,6.74,1,Health.Life.Expectancy,0.95,2016
United Kingdom,23,6.72,1,Absence.of.Corruption,0.27,2016
United Kingdom,23,6.72,1,Economy..GDP.per.Capita.,1.4,2016
United Kingdom,23,6.72,1,Family.Support,1.09,2016
United Kingdom,23,6.72,1,Freedom,0.5,2016
United Kingdom,23,6.72,1,Generosity,0.5,2016
United Kingdom,23,6.72,1,Health.Life.Expectancy,0.81,2016
Chile,24,6.7,1,Absence.of.Corruption,0.11,2016
Chile,24,6.7,1,Economy..GDP.per.Capita.,1.22,2016
Chile,24,6.7,1,Family.Support,0.91,2016
Chile,24,6.7,1,Freedom,0.38,2016
Chile,24,6.7,1,Generosity,0.32,2016
Chile,24,6.7,1,Health.Life.Expectancy,0.82,2016
Panama,25,6.7,1,Absence.of.Corruption,0.08,2016
Panama,25,6.7,1,Economy..GDP.per.Capita.,1.18,2016
Panama,25,6.7,1,Family.Support,0.99,2016
Panama,25,6.7,1,Freedom,0.49,2016
Panama,25,6.7,1,Generosity,0.24,2016
Panama,25,6.7,1,Health.Life.Expectancy,0.71,2016
Argentina,26,6.65,1,Absence.of.Corruption,0.07,2016
Argentina,26,6.65,1,Economy..GDP.per.Capita.,1.15,2016
Argentina,26,6.65,1,Family.Support,1.07,2016
Argentina,26,6.65,1,Freedom,0.42,2016
Argentina,26,6.65,1,Generosity,0.11,2016
Argentina,26,6.65,1,Health.Life.Expectancy,0.7,2016
Czech Republic,27,6.6,1,Absence.of.Corruption,0.04,2016
Czech Republic,27,6.6,1,Economy..GDP.per.Capita.,1.31,2016
Czech Republic,27,6.6,1,Family.Support,1.01,2016
Czech Republic,27,6.6,1,Freedom,0.41,2016
Czech Republic,27,6.6,1,Generosity,0.1,2016
Czech Republic,27,6.6,1,Health.Life.Expectancy,0.76,2016
United Arab Emirates,28,6.57,1,Absence.of.Corruption,0.36,2016
United Arab Emirates,28,6.57,1,Economy..GDP.per.Capita.,1.57,2016
United Arab Emirates,28,6.57,1,Family.Support,0.87,2016
United Arab Emirates,28,6.57,1,Freedom,0.56,2016
United Arab Emirates,28,6.57,1,Generosity,0.27,2016
United Arab Emirates,28,6.57,1,Health.Life.Expectancy,0.73,2016
Uruguay,29,6.54,1,Absence.of.Corruption,0.21,2016
Uruguay,29,6.54,1,Economy..GDP.per.Capita.,1.18,2016
Uruguay,29,6.54,1,Family.Support,1.03,2016
Uruguay,29,6.54,1,Freedom,0.54,2016
Uruguay,29,6.54,1,Generosity,0.18,2016
Uruguay,29,6.54,1,Health.Life.Expectancy,0.72,2016
Malta,30,6.49,1,Absence.of.Corruption,0.18,2016
Malta,30,6.49,1,Economy..GDP.per.Capita.,1.31,2016
Malta,30,6.49,1,Family.Support,1.1,2016
Malta,30,6.49,1,Freedom,0.55,2016
Malta,30,6.49,1,Generosity,0.56,2016
Malta,30,6.49,1,Health.Life.Expectancy,0.8,2016
Colombia,31,6.48,1,Absence.of.Corruption,0.05,2016
Colombia,31,6.48,1,Economy..GDP.per.Capita.,1.03,2016
Colombia,31,6.48,1,Family.Support,1.02,2016
Colombia,31,6.48,1,Freedom,0.45,2016
Colombia,31,6.48,1,Generosity,0.16,2016
Colombia,31,6.48,1,Health.Life.Expectancy,0.6,2016
France,32,6.48,1,Absence.of.Corruption,0.18,2016
France,32,6.48,1,Economy..GDP.per.Capita.,1.39,2016
France,32,6.48,1,Family.Support,1.01,2016
France,32,6.48,1,Freedom,0.47,2016
France,32,6.48,1,Generosity,0.12,2016
France,32,6.48,1,Health.Life.Expectancy,0.84,2016
Thailand,33,6.47,1,Absence.of.Corruption,0.03,2016
Thailand,33,6.47,1,Economy..GDP.per.Capita.,1.09,2016
Thailand,33,6.47,1,Family.Support,1.04,2016
Thailand,33,6.47,1,Freedom,0.5,2016
Thailand,33,6.47,1,Generosity,0.59,2016
Thailand,33,6.47,1,Health.Life.Expectancy,0.65,2016
Saudi Arabia,34,6.38,1,Absence.of.Corruption,0.3,2016
Saudi Arabia,34,6.38,1,Economy..GDP.per.Capita.,1.49,2016
Saudi Arabia,34,6.38,1,Family.Support,0.85,2016
Saudi Arabia,34,6.38,1,Freedom,0.38,2016
Saudi Arabia,34,6.38,1,Generosity,0.15,2016
Saudi Arabia,34,6.38,1,Health.Life.Expectancy,0.59,2016
Hong Kong,34,6.38,1,Absence.of.Corruption,0.07,2016
Hong Kong,34,6.38,1,Economy..GDP.per.Capita.,1.4,2016
Hong Kong,34,6.38,1,Family.Support,0.93,2016
Hong Kong,34,6.38,1,Freedom,0.32,2016
Hong Kong,34,6.38,1,Generosity,0.25,2016
Hong Kong,34,6.38,1,Health.Life.Expectancy,0.8,2016
Qatar,36,6.38,1,Absence.of.Corruption,0.48,2016
Qatar,36,6.38,1,Economy..GDP.per.Capita.,1.82,2016
Qatar,36,6.38,1,Family.Support,0.88,2016
Qatar,36,6.38,1,Freedom,0.57,2016
Qatar,36,6.38,1,Generosity,0.32,2016
Qatar,36,6.38,1,Health.Life.Expectancy,0.72,2016
Spain,37,6.36,1,Absence.of.Corruption,0.06,2016
Spain,37,6.36,1,Economy..GDP.per.Capita.,1.34,2016
Spain,37,6.36,1,Family.Support,1.13,2016
Spain,37,6.36,1,Freedom,0.38,2016
Spain,37,6.36,1,Generosity,0.18,2016
Spain,37,6.36,1,Health.Life.Expectancy,0.88,2016
Algeria,38,6.36,1,Absence.of.Corruption,0.16,2016
Algeria,38,6.36,1,Economy..GDP.per.Capita.,1.05,2016
Algeria,38,6.36,1,Family.Support,0.83,2016
Algeria,38,6.36,1,Freedom,0.21,2016
Algeria,38,6.36,1,Generosity,0.07,2016
Algeria,38,6.36,1,Health.Life.Expectancy,0.62,2016
Guatemala,39,6.32,1,Absence.of.Corruption,0.09,2016
Guatemala,39,6.32,1,Economy..GDP.per.Capita.,0.83,2016
Guatemala,39,6.32,1,Family.Support,0.87,2016
Guatemala,39,6.32,1,Freedom,0.5,2016
Guatemala,39,6.32,1,Generosity,0.29,2016
Guatemala,39,6.32,1,Health.Life.Expectancy,0.54,2016
Suriname,40,6.27,1,Absence.of.Corruption,0.13,2016
Suriname,40,6.27,1,Economy..GDP.per.Capita.,1.1,2016
Suriname,40,6.27,1,Family.Support,0.78,2016
Suriname,40,6.27,1,Freedom,0.52,2016
Suriname,40,6.27,1,Generosity,0.17,2016
Suriname,40,6.27,1,Health.Life.Expectancy,0.51,2016
Kuwait,41,6.24,1,Absence.of.Corruption,0.24,2016
Kuwait,41,6.24,1,Economy..GDP.per.Capita.,1.62,2016
Kuwait,41,6.24,1,Family.Support,0.88,2016
Kuwait,41,6.24,1,Freedom,0.43,2016
Kuwait,41,6.24,1,Generosity,0.16,2016
Kuwait,41,6.24,1,Health.Life.Expectancy,0.64,2016
Bahrain,42,6.22,1,Absence.of.Corruption,0.26,2016
Bahrain,42,6.22,1,Economy..GDP.per.Capita.,1.44,2016
Bahrain,42,6.22,1,Family.Support,0.94,2016
Bahrain,42,6.22,1,Freedom,0.47,2016
Bahrain,42,6.22,1,Generosity,0.17,2016
Bahrain,42,6.22,1,Health.Life.Expectancy,0.66,2016
Trinidad and Tobago,43,6.17,1,Absence.of.Corruption,0.01,2016
Trinidad and Tobago,43,6.17,1,Economy..GDP.per.Capita.,1.33,2016
Trinidad and Tobago,43,6.17,1,Family.Support,0.99,2016
Trinidad and Tobago,43,6.17,1,Freedom,0.48,2016
Trinidad and Tobago,43,6.17,1,Generosity,0.32,2016
Trinidad and Tobago,43,6.17,1,Health.Life.Expectancy,0.53,2016
Venezuela,44,6.08,1,Absence.of.Corruption,0.08,2016
Venezuela,44,6.08,1,Economy..GDP.per.Capita.,1.13,2016
Venezuela,44,6.08,1,Family.Support,1.03,2016
Venezuela,44,6.08,1,Freedom,0.2,2016
Venezuela,44,6.08,1,Generosity,0.04,2016
Venezuela,44,6.08,1,Health.Life.Expectancy,0.62,2016
Slovakia,45,6.08,1,Absence.of.Corruption,0.03,2016
Slovakia,45,6.08,1,Economy..GDP.per.Capita.,1.28,2016
Slovakia,45,6.08,1,Family.Support,1.08,2016
Slovakia,45,6.08,1,Freedom,0.23,2016
Slovakia,45,6.08,1,Generosity,0.14,2016
Slovakia,45,6.08,1,Health.Life.Expectancy,0.7,2016
El Salvador,46,6.07,1,Absence.of.Corruption,0.11,2016
El Salvador,46,6.07,1,Economy..GDP.per.Capita.,0.87,2016
El Salvador,46,6.07,1,Family.Support,0.81,2016
El Salvador,46,6.07,1,Freedom,0.37,2016
El Salvador,46,6.07,1,Generosity,0.09,2016
El Salvador,46,6.07,1,Health.Life.Expectancy,0.6,2016
Malaysia,47,6,1,Absence.of.Corruption,0.09,2016
Malaysia,47,6,1,Economy..GDP.per.Capita.,1.25,2016
Malaysia,47,6,1,Family.Support,0.88,2016
Malaysia,47,6,1,Freedom,0.39,2016
Malaysia,47,6,1,Generosity,0.41,2016
Malaysia,47,6,1,Health.Life.Expectancy,0.62,2016
Nicaragua,48,5.99,1,Absence.of.Corruption,0.16,2016
Nicaragua,48,5.99,1,Economy..GDP.per.Capita.,0.69,2016
Nicaragua,48,5.99,1,Family.Support,0.9,2016
Nicaragua,48,5.99,1,Freedom,0.47,2016
Nicaragua,48,5.99,1,Generosity,0.3,2016
Nicaragua,48,5.99,1,Health.Life.Expectancy,0.65,2016
Uzbekistan,49,5.99,1,Absence.of.Corruption,0.28,2016
Uzbekistan,49,5.99,1,Economy..GDP.per.Capita.,0.74,2016
Uzbekistan,49,5.99,1,Family.Support,1.17,2016
Uzbekistan,49,5.99,1,Freedom,0.61,2016
Uzbekistan,49,5.99,1,Generosity,0.34,2016
Uzbekistan,49,5.99,1,Health.Life.Expectancy,0.5,2016
Italy,50,5.98,1,Absence.of.Corruption,0.03,2016
Italy,50,5.98,1,Economy..GDP.per.Capita.,1.35,2016
Italy,50,5.98,1,Family.Support,1.04,2016
Italy,50,5.98,1,Freedom,0.19,2016
Italy,50,5.98,1,Generosity,0.17,2016
Italy,50,5.98,1,Health.Life.Expectancy,0.85,2016
Ecuador,51,5.98,1,Absence.of.Corruption,0.18,2016
Ecuador,51,5.98,1,Economy..GDP.per.Capita.,0.97,2016
Ecuador,51,5.98,1,Family.Support,0.86,2016
Ecuador,51,5.98,1,Freedom,0.4,2016
Ecuador,51,5.98,1,Generosity,0.1,2016
Ecuador,51,5.98,1,Health.Life.Expectancy,0.69,2016
Belize,52,5.96,1,Absence.of.Corruption,0.11,2016
Belize,52,5.96,1,Economy..GDP.per.Capita.,0.88,2016
Belize,52,5.96,1,Family.Support,0.69,2016
Belize,52,5.96,1,Freedom,0.51,2016
Belize,52,5.96,1,Generosity,0.24,2016
Belize,52,5.96,1,Health.Life.Expectancy,0.46,2016
Japan,53,5.92,1,Absence.of.Corruption,0.19,2016
Japan,53,5.92,1,Economy..GDP.per.Capita.,1.38,2016
Japan,53,5.92,1,Family.Support,1.06,2016
Japan,53,5.92,1,Freedom,0.47,2016
Japan,53,5.92,1,Generosity,0.1,2016
Japan,53,5.92,1,Health.Life.Expectancy,0.91,2016
Kazakhstan,54,5.92,1,Absence.of.Corruption,0.11,2016
Kazakhstan,54,5.92,1,Economy..GDP.per.Capita.,1.23,2016
Kazakhstan,54,5.92,1,Family.Support,0.96,2016
Kazakhstan,54,5.92,1,Freedom,0.41,2016
Kazakhstan,54,5.92,1,Generosity,0.15,2016
Kazakhstan,54,5.92,1,Health.Life.Expectancy,0.57,2016
Moldova,55,5.9,1,Absence.of.Corruption,0.02,2016
Moldova,55,5.9,1,Economy..GDP.per.Capita.,0.69,2016
Moldova,55,5.9,1,Family.Support,0.83,2016
Moldova,55,5.9,1,Freedom,0.25,2016
Moldova,55,5.9,1,Generosity,0.2,2016
Moldova,55,5.9,1,Health.Life.Expectancy,0.52,2016
Russia,56,5.86,1,Absence.of.Corruption,0.04,2016
Russia,56,5.86,1,Economy..GDP.per.Capita.,1.23,2016
Russia,56,5.86,1,Family.Support,1.05,2016
Russia,56,5.86,1,Freedom,0.33,2016
Russia,56,5.86,1,Generosity,0.03,2016
Russia,56,5.86,1,Health.Life.Expectancy,0.59,2016
Poland,57,5.84,1,Absence.of.Corruption,0.06,2016
Poland,57,5.84,1,Economy..GDP.per.Capita.,1.25,2016
Poland,57,5.84,1,Family.Support,1.05,2016
Poland,57,5.84,1,Freedom,0.45,2016
Poland,57,5.84,1,Generosity,0.14,2016
Poland,57,5.84,1,Health.Life.Expectancy,0.69,2016
South Korea,57,5.84,1,Absence.of.Corruption,0.08,2016
South Korea,57,5.84,1,Economy..GDP.per.Capita.,1.36,2016
South Korea,57,5.84,1,Family.Support,0.72,2016
South Korea,57,5.84,1,Freedom,0.25,2016
South Korea,57,5.84,1,Generosity,0.19,2016
South Korea,57,5.84,1,Health.Life.Expectancy,0.89,2016
Bolivia,59,5.82,1,Absence.of.Corruption,0.08,2016
Bolivia,59,5.82,1,Economy..GDP.per.Capita.,0.79,2016
Bolivia,59,5.82,1,Family.Support,0.84,2016
Bolivia,59,5.82,1,Freedom,0.51,2016
Bolivia,59,5.82,1,Generosity,0.22,2016
Bolivia,59,5.82,1,Health.Life.Expectancy,0.47,2016
Lithuania,60,5.81,1,Absence.of.Corruption,0.02,2016
Lithuania,60,5.81,1,Economy..GDP.per.Capita.,1.27,2016
Lithuania,60,5.81,1,Family.Support,1.06,2016
Lithuania,60,5.81,1,Freedom,0.19,2016
Lithuania,60,5.81,1,Generosity,0.02,2016
Lithuania,60,5.81,1,Health.Life.Expectancy,0.65,2016
Belarus,61,5.8,1,Absence.of.Corruption,0.17,2016
Belarus,61,5.8,1,Economy..GDP.per.Capita.,1.13,2016
Belarus,61,5.8,1,Family.Support,1.05,2016
Belarus,61,5.8,1,Freedom,0.29,2016
Belarus,61,5.8,1,Generosity,0.14,2016
Belarus,61,5.8,1,Health.Life.Expectancy,0.63,2016
Northern Cyprus,62,5.77,1,Absence.of.Corruption,0.17,2016
Northern Cyprus,62,5.77,1,Economy..GDP.per.Capita.,1.31,2016
Northern Cyprus,62,5.77,1,Family.Support,0.82,2016
Northern Cyprus,62,5.77,1,Freedom,0.44,2016
Northern Cyprus,62,5.77,1,Generosity,0.26,2016
Northern Cyprus,62,5.77,1,Health.Life.Expectancy,0.84,2016
Slovenia,63,5.77,1,Absence.of.Corruption,0.04,2016
Slovenia,63,5.77,1,Economy..GDP.per.Capita.,1.3,2016
Slovenia,63,5.77,1,Family.Support,1.06,2016
Slovenia,63,5.77,1,Freedom,0.53,2016
Slovenia,63,5.77,1,Generosity,0.26,2016
Slovenia,63,5.77,1,Health.Life.Expectancy,0.79,2016
Peru,64,5.74,1,Absence.of.Corruption,0.05,2016
Peru,64,5.74,1,Economy..GDP.per.Capita.,1,2016
Peru,64,5.74,1,Family.Support,0.81,2016
Peru,64,5.74,1,Freedom,0.38,2016
Peru,64,5.74,1,Generosity,0.15,2016
Peru,64,5.74,1,Health.Life.Expectancy,0.63,2016
Turkmenistan,65,5.66,1,Absence.of.Corruption,0.28,2016
Turkmenistan,65,5.66,1,Economy..GDP.per.Capita.,1.08,2016
Turkmenistan,65,5.66,1,Family.Support,1.04,2016
Turkmenistan,65,5.66,1,Freedom,0.37,2016
Turkmenistan,65,5.66,1,Generosity,0.23,2016
Turkmenistan,65,5.66,1,Health.Life.Expectancy,0.44,2016
Mauritius,66,5.65,1,Absence.of.Corruption,0.05,2016
Mauritius,66,5.65,1,Economy..GDP.per.Capita.,1.14,2016
Mauritius,66,5.65,1,Family.Support,0.76,2016
Mauritius,66,5.65,1,Freedom,0.46,2016
Mauritius,66,5.65,1,Generosity,0.37,2016
Mauritius,66,5.65,1,Health.Life.Expectancy,0.66,2016
Libya,67,5.62,1,Absence.of.Corruption,0.1,2016
Libya,67,5.62,1,Economy..GDP.per.Capita.,1.07,2016
Libya,67,5.62,1,Family.Support,0.95,2016
Libya,67,5.62,1,Freedom,0.41,2016
Libya,67,5.62,1,Generosity,0.17,2016
Libya,67,5.62,1,Health.Life.Expectancy,0.52,2016
Latvia,68,5.56,1,Absence.of.Corruption,0.09,2016
Latvia,68,5.56,1,Economy..GDP.per.Capita.,1.22,2016
Latvia,68,5.56,1,Family.Support,0.95,2016
Latvia,68,5.56,1,Freedom,0.28,2016
Latvia,68,5.56,1,Generosity,0.17,2016
Latvia,68,5.56,1,Health.Life.Expectancy,0.64,2016
Cyprus,69,5.55,1,Absence.of.Corruption,0.05,2016
Cyprus,69,5.55,1,Economy..GDP.per.Capita.,1.32,2016
Cyprus,69,5.55,1,Family.Support,0.71,2016
Cyprus,69,5.55,1,Freedom,0.3,2016
Cyprus,69,5.55,1,Generosity,0.28,2016
Cyprus,69,5.55,1,Health.Life.Expectancy,0.85,2016
Paraguay,70,5.54,1,Absence.of.Corruption,0.07,2016
Paraguay,70,5.54,1,Economy..GDP.per.Capita.,0.89,2016
Paraguay,70,5.54,1,Family.Support,1.11,2016
Paraguay,70,5.54,1,Freedom,0.46,2016
Paraguay,70,5.54,1,Generosity,0.25,2016
Paraguay,70,5.54,1,Health.Life.Expectancy,0.58,2016
Romania,71,5.53,1,Absence.of.Corruption,0.01,2016
Romania,71,5.53,1,Economy..GDP.per.Capita.,1.17,2016
Romania,71,5.53,1,Family.Support,0.73,2016
Romania,71,5.53,1,Freedom,0.37,2016
Romania,71,5.53,1,Generosity,0.13,2016
Romania,71,5.53,1,Health.Life.Expectancy,0.68,2016
Estonia,72,5.52,1,Absence.of.Corruption,0.19,2016
Estonia,72,5.52,1,Economy..GDP.per.Capita.,1.28,2016
Estonia,72,5.52,1,Family.Support,1.05,2016
Estonia,72,5.52,1,Freedom,0.42,2016
Estonia,72,5.52,1,Generosity,0.08,2016
Estonia,72,5.52,1,Health.Life.Expectancy,0.68,2016
Jamaica,73,5.51,1,Absence.of.Corruption,0.04,2016
Jamaica,73,5.51,1,Economy..GDP.per.Capita.,0.89,2016
Jamaica,73,5.51,1,Family.Support,0.96,2016
Jamaica,73,5.51,1,Freedom,0.44,2016
Jamaica,73,5.51,1,Generosity,0.22,2016
Jamaica,73,5.51,1,Health.Life.Expectancy,0.59,2016
Croatia,74,5.49,1,Absence.of.Corruption,0.04,2016
Croatia,74,5.49,1,Economy..GDP.per.Capita.,1.19,2016
Croatia,74,5.49,1,Family.Support,0.61,2016
Croatia,74,5.49,1,Freedom,0.24,2016
Croatia,74,5.49,1,Generosity,0.18,2016
Croatia,74,5.49,1,Health.Life.Expectancy,0.71,2016
Japan,75,5.46,1,Absence.of.Corruption,0.32,2016
Japan,75,5.46,1,Economy..GDP.per.Capita.,1.51,2016
Japan,75,5.46,1,Family.Support,0.87,2016
Japan,75,5.46,1,Freedom,0.48,2016
Japan,75,5.46,1,Generosity,0.4,2016
Japan,75,5.46,1,Health.Life.Expectancy,0.95,2016
Somalia,76,5.44,1,Absence.of.Corruption,0.31,2016
Somalia,76,5.44,1,Economy..GDP.per.Capita.,0,2016
Somalia,76,5.44,1,Family.Support,0.34,2016
Somalia,76,5.44,1,Freedom,0.57,2016
Somalia,76,5.44,1,Generosity,0.27,2016
Somalia,76,5.44,1,Health.Life.Expectancy,0.11,2016
Kosovo,77,5.4,1,Absence.of.Corruption,0.07,2016
Kosovo,77,5.4,1,Economy..GDP.per.Capita.,0.9,2016
Kosovo,77,5.4,1,Family.Support,0.66,2016
Kosovo,77,5.4,1,Freedom,0.14,2016
Kosovo,77,5.4,1,Generosity,0.28,2016
Kosovo,77,5.4,1,Health.Life.Expectancy,0.54,2016
Turkey,78,5.39,1,Absence.of.Corruption,0.12,2016
Turkey,78,5.39,1,Economy..GDP.per.Capita.,1.16,2016
Turkey,78,5.39,1,Family.Support,0.88,2016
Turkey,78,5.39,1,Freedom,0.24,2016
Turkey,78,5.39,1,Generosity,0.05,2016
Turkey,78,5.39,1,Health.Life.Expectancy,0.65,2016
Indonesia,79,5.31,1,Absence.of.Corruption,0,2016
Indonesia,79,5.31,1,Economy..GDP.per.Capita.,0.95,2016
Indonesia,79,5.31,1,Family.Support,0.88,2016
Indonesia,79,5.31,1,Freedom,0.39,2016
Indonesia,79,5.31,1,Generosity,0.57,2016
Indonesia,79,5.31,1,Health.Life.Expectancy,0.49,2016
Jordan,80,5.3,1,Absence.of.Corruption,0.13,2016
Jordan,80,5.3,1,Economy..GDP.per.Capita.,1,2016
Jordan,80,5.3,1,Family.Support,0.86,2016
Jordan,80,5.3,1,Freedom,0.36,2016
Jordan,80,5.3,1,Generosity,0.14,2016
Jordan,80,5.3,1,Health.Life.Expectancy,0.61,2016
Azerbaijan,81,5.29,1,Absence.of.Corruption,0.18,2016
Azerbaijan,81,5.29,1,Economy..GDP.per.Capita.,1.12,2016
Azerbaijan,81,5.29,1,Family.Support,0.76,2016
Azerbaijan,81,5.29,1,Freedom,0.35,2016
Azerbaijan,81,5.29,1,Generosity,0.06,2016
Azerbaijan,81,5.29,1,Health.Life.Expectancy,0.55,2016
Philippines,82,5.28,1,Absence.of.Corruption,0.12,2016
Philippines,82,5.28,1,Economy..GDP.per.Capita.,0.81,2016
Philippines,82,5.28,1,Family.Support,0.88,2016
Philippines,82,5.28,1,Freedom,0.55,2016
Philippines,82,5.28,1,Generosity,0.22,2016
Philippines,82,5.28,1,Health.Life.Expectancy,0.47,2016
Japan,83,5.25,1,Absence.of.Corruption,0.03,2016
Japan,83,5.25,1,Economy..GDP.per.Capita.,1.03,2016
Japan,83,5.25,1,Family.Support,0.79,2016
Japan,83,5.25,1,Freedom,0.44,2016
Japan,83,5.25,1,Generosity,0.05,2016
Japan,83,5.25,1,Health.Life.Expectancy,0.74,2016
Bhutan,84,5.2,1,Absence.of.Corruption,0.16,2016
Bhutan,84,5.2,1,Economy..GDP.per.Capita.,0.85,2016
Bhutan,84,5.2,1,Family.Support,0.91,2016
Bhutan,84,5.2,1,Freedom,0.46,2016
Bhutan,84,5.2,1,Generosity,0.49,2016
Bhutan,84,5.2,1,Health.Life.Expectancy,0.5,2016
Kyrgyzstan,85,5.18,1,Absence.of.Corruption,0.05,2016
Kyrgyzstan,85,5.18,1,Economy..GDP.per.Capita.,0.56,2016
Kyrgyzstan,85,5.18,1,Family.Support,0.95,2016
Kyrgyzstan,85,5.18,1,Freedom,0.4,2016
Kyrgyzstan,85,5.18,1,Generosity,0.38,2016
Kyrgyzstan,85,5.18,1,Health.Life.Expectancy,0.55,2016
Serbia,86,5.18,1,Absence.of.Corruption,0.04,2016
Serbia,86,5.18,1,Economy..GDP.per.Capita.,1.03,2016
Serbia,86,5.18,1,Family.Support,0.81,2016
Serbia,86,5.18,1,Freedom,0.16,2016
Serbia,86,5.18,1,Generosity,0.21,2016
Serbia,86,5.18,1,Health.Life.Expectancy,0.65,2016
Bosnia and Herzegovina,87,5.16,1,Absence.of.Corruption,0,2016
Bosnia and Herzegovina,87,5.16,1,Economy..GDP.per.Capita.,0.93,2016
Bosnia and Herzegovina,87,5.16,1,Family.Support,0.64,2016
Bosnia and Herzegovina,87,5.16,1,Freedom,0.1,2016
Bosnia and Herzegovina,87,5.16,1,Generosity,0.3,2016
Bosnia and Herzegovina,87,5.16,1,Health.Life.Expectancy,0.71,2016
Montenegro,88,5.16,1,Absence.of.Corruption,0.13,2016
Montenegro,88,5.16,1,Economy..GDP.per.Capita.,1.08,2016
Montenegro,88,5.16,1,Family.Support,0.74,2016
Montenegro,88,5.16,1,Freedom,0.15,2016
Montenegro,88,5.16,1,Generosity,0.17,2016
Montenegro,88,5.16,1,Health.Life.Expectancy,0.64,2016
Dominican Republic,89,5.16,1,Absence.of.Corruption,0.12,2016
Dominican Republic,89,5.16,1,Economy..GDP.per.Capita.,1.03,2016
Dominican Republic,89,5.16,1,Family.Support,0.99,2016
Dominican Republic,89,5.16,1,Freedom,0.52,2016
Dominican Republic,89,5.16,1,Generosity,0.21,2016
Dominican Republic,89,5.16,1,Health.Life.Expectancy,0.58,2016
Morocco,90,5.15,1,Absence.of.Corruption,0.08,2016
Morocco,90,5.15,1,Economy..GDP.per.Capita.,0.84,2016
Morocco,90,5.15,1,Family.Support,0.39,2016
Morocco,90,5.15,1,Freedom,0.26,2016
Morocco,90,5.15,1,Generosity,0.04,2016
Morocco,90,5.15,1,Health.Life.Expectancy,0.59,2016
Hungary,91,5.14,1,Absence.of.Corruption,0.04,2016
Hungary,91,5.14,1,Economy..GDP.per.Capita.,1.24,2016
Hungary,91,5.14,1,Family.Support,0.93,2016
Hungary,91,5.14,1,Freedom,0.2,2016
Hungary,91,5.14,1,Generosity,0.1,2016
Hungary,91,5.14,1,Health.Life.Expectancy,0.68,2016
Pakistan,92,5.13,1,Absence.of.Corruption,0.14,2016
Pakistan,92,5.13,1,Economy..GDP.per.Capita.,0.69,2016
Pakistan,92,5.13,1,Family.Support,0.26,2016
Pakistan,92,5.13,1,Freedom,0.15,2016
Pakistan,92,5.13,1,Generosity,0.31,2016
Pakistan,92,5.13,1,Health.Life.Expectancy,0.4,2016
Lebanon,93,5.13,1,Absence.of.Corruption,0.03,2016
Lebanon,93,5.13,1,Economy..GDP.per.Capita.,1.12,2016
Lebanon,93,5.13,1,Family.Support,0.64,2016
Lebanon,93,5.13,1,Freedom,0.26,2016
Lebanon,93,5.13,1,Generosity,0.24,2016
Lebanon,93,5.13,1,Health.Life.Expectancy,0.76,2016
Portugal,94,5.12,1,Absence.of.Corruption,0.02,2016
Portugal,94,5.12,1,Economy..GDP.per.Capita.,1.28,2016
Portugal,94,5.12,1,Family.Support,0.94,2016
Portugal,94,5.12,1,Freedom,0.45,2016
Portugal,94,5.12,1,Generosity,0.12,2016
Portugal,94,5.12,1,Health.Life.Expectancy,0.79,2016
Macedonia,95,5.12,1,Absence.of.Corruption,0.07,2016
Macedonia,95,5.12,1,Economy..GDP.per.Capita.,1.02,2016
Macedonia,95,5.12,1,Family.Support,0.78,2016
Macedonia,95,5.12,1,Freedom,0.28,2016
Macedonia,95,5.12,1,Generosity,0.24,2016
Macedonia,95,5.12,1,Health.Life.Expectancy,0.65,2016
Vietnam,96,5.06,1,Absence.of.Corruption,0.12,2016
Vietnam,96,5.06,1,Economy..GDP.per.Capita.,0.74,2016
Vietnam,96,5.06,1,Family.Support,0.79,2016
Vietnam,96,5.06,1,Freedom,0.56,2016
Vietnam,96,5.06,1,Generosity,0.25,2016
Vietnam,96,5.06,1,Health.Life.Expectancy,0.66,2016
Tunisia,98,5.04,1,Absence.of.Corruption,0.08,2016
Tunisia,98,5.04,1,Economy..GDP.per.Capita.,0.98,2016
Tunisia,98,5.04,1,Family.Support,0.43,2016
Tunisia,98,5.04,1,Freedom,0.24,2016
Tunisia,98,5.04,1,Generosity,0.04,2016
Tunisia,98,5.04,1,Health.Life.Expectancy,0.6,2016
Greece,99,5.03,1,Absence.of.Corruption,0.04,2016
Greece,99,5.03,1,Economy..GDP.per.Capita.,1.25,2016
Greece,99,5.03,1,Family.Support,0.75,2016
Greece,99,5.03,1,Freedom,0.06,2016
Greece,99,5.03,1,Generosity,0,2016
Greece,99,5.03,1,Health.Life.Expectancy,0.8,2016
Tajikistan,100,5,1,Absence.of.Corruption,0.14,2016
Tajikistan,100,5,1,Economy..GDP.per.Capita.,0.49,2016
Tajikistan,100,5,1,Family.Support,0.76,2016
Tajikistan,100,5,1,Freedom,0.43,2016
Tajikistan,100,5,1,Generosity,0.26,2016
Tajikistan,100,5,1,Health.Life.Expectancy,0.53,2016
Mongolia,101,4.91,1,Absence.of.Corruption,0.03,2016
Mongolia,101,4.91,1,Economy..GDP.per.Capita.,0.99,2016
